F = 1.000000 | I = 252 | calculated 0.001980
F = -1.000000 | I = 253 | calculated -0.001972
F = 1.000000 | I = 254 | calculated 0.001965
F = -1.000000 | I = 255 | calculated -0.001957
F = 1.000000 | I = 256 | calculated 0.001949
F = -1.000000 | I = 257 | calculated -0.001942
F = 1.000000 | I = 258 | calculated 0.001934
F = -1.000000 | I = 259 | calculated -0.001927
F = 1.000000 | I = 260 | calculated 0.001919
F = -1.000000 | I = 261 | calculated -0.001912
F = 1.000000 | I = 262 | calculated 0.001905
F = -1.000000 | I = 263 | calculated -0.001898
F = 1.000000 | I = 264 | calculated 0.001890
F = -1.000000 | I = 265 | calculated -0.001883
F = 1.000000 | I = 266 | calculated 0.001876
F = -1.000000 | I = 267 | calculated -0.001869
F = 1.000000 | I = 268 | calculated 0.001862
F = -1.000000 | I = 269 | calculated -0.001855
F = 1.000000 | I = 270 | calculated 0.001848
F = -1.000000 | I = 271 | calculated -0.001842
F = 1.000000 | I = 288 | calculated 0.001733
F = -1.000000 | I = 275 | calculated -0.001815
F = -1.000000 | I = 139 | calculated -0.003584
F = -1.000000 | I = 279 | calculated -0.001789
F = 1.000000 | I = 282 | calculated 0.001770
F = -1.000000 | I = 283 | calculated -0.001764
F = 1.000000 | I = 192 | calculated 0.002597
F = -1.000000 | I = 213 | calculated -0.002342
F = 1.000000 | I = 286 | calculated 0.001745
F = -1.000000 | I = 287 | calculated -0.001739
F = 1.000000 | I = 274 | calculated 0.001821
F = -1.000000 | I = 289 | calculated -0.001727
F = 1.000000 | I = 290 | calculated 0.001721
F = -1.000000 | I = 291 | calculated -0.001715
F = 1.000000 | I = 292 | calculated 0.001709
F = -1.000000 | I = 293 | calculated -0.001704
F = 1.000000 | I = 294 | calculated 0.001698
F = -1.000000 | I = 295 | calculated -0.001692
F = 1.000000 | I = 296 | calculated 0.001686
F = -1.000000 | I = 297 | calculated -0.001681
F = 1.000000 | I = 298 | calculated 0.001675
F = -1.000000 | I = 299 | calculated -0.001669
F = 1.000000 | I = 300 | calculated 0.001664
F = -1.000000 | I = 301 | calculated -0.001658
F = 1.000000 | I = 302 | calculated 0.001653
F = -1.000000 | I = 303 | calculated -0.001647
F = 1.000000 | I = 304 | calculated 0.001642
F = -1.000000 | I = 305 | calculated -0.001637
F = 1.000000 | I = 306 | calculated 0.001631
F = -1.000000 | I = 307 | calculated -0.001626
F = 1.000000 | I = 308 | calculated 0.001621
F = -1.000000 | I = 309 | calculated -0.001616
F = 1.000000 | I = 310 | calculated 0.001610
F = -1.000000 | I = 311 | calculated -0.001605
F = 1.000000 | I = 312 | calculated 0.001600
F = -1.000000 | I = 313 | calculated -0.001595
F = 1.000000 | I = 314 | calculated 0.001590
F = -1.000000 | I = 315 | calculated -0.001585
F = 1.000000 | I = 316 | calculated 0.001580
F = -1.000000 | I = 317 | calculated -0.001575
F = 1.000000 | I = 318 | calculated 0.001570
F = -1.000000 | I = 319 | calculated -0.001565
F = 1.000000 | I = 320 | calculated 0.001560
F = -1.000000 | I = 321 | calculated -0.001555
F = 1.000000 | I = 322 | calculated 0.001550
F = -1.000000 | I = 323 | calculated -0.001546
F = 1.000000 | I = 324 | calculated 0.001541
F = -1.000000 | I = 325 | calculated -0.001536
F = 1.000000 | I = 326 | calculated 0.001531
F = -1.000000 | I = 327 | calculated -0.001527
F = 1.000000 | I = 328 | calculated 0.001522
F = -1.000000 | I = 329 | calculated -0.001517
F = 1.000000 | I = 330 | calculated 0.001513
F = -1.000000 | I = 331 | calculated -0.001508
F = 1.000000 | I = 332 | calculated 0.001504
F = -1.000000 | I = 333 | calculated -0.001499
F = 1.000000 | I = 334 | calculated 0.001495
